TOTAL;SECRETARIA;AGRUPAMENTO;SUBPREFEITURA;ADM REGIONAL;DRE;TIPO UNIDADE; ;CÓDIGO UNIDADE;NOME UNIDADE;ENDEREÇO;TELEFONE;CEP;BAIRRO;INICIO CONVENIO;FIM CONVENIO;TIPO ATENDIMENTO;INICIO DESATIVACAO;FIM DESATIVACAO;CODIGO EOL;INAUGURADO;INICIO TIPO ATENDIMENTO;FIM TIPO ATENDIMENTO
1756;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7513;CEI MUN. JD. MAIA - (TERCEI.);AV. ESTRELA DA NOITE, 287;(11)25816607;8180190;JD. MAIA;;;TERCEIRIZADA;;;400094;22/03/1999;16/09/2004;
1757;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7519;CEI MUN. VL. PROGRESSO - (TERCEI.);R. SUZANA DE MELO, 881;(11)20526133;8245160;VL. PROGRESSO;;;TERCEIRIZADA;;;400258;22/03/1999;01/09/2004;
1758;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7526;CEI MUN. DORALICE PEREIRA DE SOUZA LEONARDO - (TERCEI.);AV. RIO MIRIVAI, 274;(11)29632467;8122440;ITAIM PAULISTA;;;TERCEIRIZADA;;;400207;22/03/1999;10/07/2007;
1759;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7529;CEI MUN. JD. SÃO CARLOS - (TERCEI.);R. SÃO PEDRO DO JEQUITINHONHA, 101;(11)22800494;8062300;SÃO MIGUEL;;;TERCEIRIZADA;;;400123;16/02/2000;08/11/2004;
1760;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;11730;CEU CEI MUN. TRÊS PONTES - (TERCEI.);R. CAPACHOS, 400;(11)36785385;8191330;JD. CÉLIA;;;TERCEIRIZADA;;;400676;16/06/2008;16/06/2008;
1761;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;9880;CEU CEI MUN. PQ. SÃO CARLOS - (TERCEI.);R. CLAREAR, 141;(11)20454236;8062590;JD. SÃO CARLOS;;;TERCEIRIZADA;;;400520;15/09/2003;18/08/2004;
1762;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;9851;CEI MUN. VL. AIMORÉ - (TERCEI.);R. SIMÃO RODRIGUES MOREIRA,, S/N;(11)25815037;8180500;VL. AIMORÉ;;;TERCEIRIZADA;;;400489;01/09/2003;01/09/2004;
1763;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7516;CEI MUN. NINHO ALEGRE - (TERCEI.);R. JOÃO NICARIO ELEUTÉRIO, 430;(11)20523893;8042080;CID. NOVA SÃO MIGUEL;;;TERCEIRIZADA;;;400188;22/03/1999;08/11/2004;
1764;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7498;CEI MUN. VER. HIGINO PELLEGRINI - (TERCEI.);R. CORDÃO DE SÃO FRANCISCO, 19;(11)25866007;8190000;JD. NOEMIA;;;TERCEIRIZADA;;;400057;22/03/1999;17/12/2004;
1765;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7540;CEI MUN. PAULO  FONTELLES LIMA - (TERCEI.);AV. JOÃO NERY DE CARVALHO, 781;(11)22971047;8021010;VILA ROSARIA;;;TERCEIRIZADA;;;400214;22/03/1999;17/12/2004;
1766;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7537;CEI MUN. VER. JOÃO CARLOS FAIRBANKS - (TERCEI.);R. ANDRÉ FURTADO DE MENDONÇA, 561;(11)25817475;8191260;JD. ROMANO;;;TERCEIRIZADA;;;400150;22/03/1999;10/07/2007;
1767;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7532;CEI MUN. JD. SÃO VICENTE - (TERCEI.);R. MOHAMAD IBRAHIN SALEH, 222;(11)20539709;8042130;SÃO MIGUEL;;;TERCEIRIZADA;;;400132;22/03/1999;10/07/2007;
1768;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7530;CEI MUN. JD. SÃO MARTINHO - (TERCEI.);R. ERVA DO SERENO, 1505;(11)25843553;8180010;JD. MAIA;;;TERCEIRIZADA;;;400128;22/03/1999;01/09/2004;
1769;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7527;CEI MUN. VL. STA. INÊS - (TERCEI.);R. RAINHA DO BOSQUE, 210;(11)25467291;3812030;ERMELINO MATARAZZO;;;TERCEIRIZADA;;;400261;22/03/1999;16/09/2004;
1770;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7525;CEI MUN. JD. RUTH - (TERCEI.);R. GUARABU, 142;(11)20516887;8040780;JD. RUTH;;;TERCEIRIZADA;;;400119;16/02/2000;08/11/2004;
1771;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;9;CEI MUNICIPAL       ;7518;CEI MUN. JD. VL. PEDROSO - (TERCEI.);R. JULIÃO PEREIRA MACHADO, 20;(11)22974121;8020020;VL. PEDROSO;;;TERCEIRIZADA;;;400148;22/03/1999;01/09/2004;
1772;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;36;CMCT                ;12480;CMCT CENTRO MUNICIPAL DE CAPACITAÇÃO E TREINAMENTO;R DANIEL BERNARDO, 95;(11)22972844;8010100;SÃO MIGUEL;;;DIRETA;;;200018;24/09/2010;;
1773;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7015;EMEF PE. JOSÉ DE ANCHIETA (TERC);AV. DA INAJÁ GUAÇU, 13;(11)20516273;8240530;VL .PROGRESSO;;;TERCEIRIZADA;;;93793;02/03/1994;01/02/2011;
1774;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7018;EMEF RAIMUNDO CORREIA - (TERCEI.);R. DR. JOSÉ DE PORCIUNCULA, 73;(11)25816835;8080650;JD.HELENA;;;TERCEIRIZADA;;;93866;02/03/1994;10/07/2007;
1775;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7020;EMEF PEDRO TEIXEIRA - (TERCEI.);R. D. FRANCISCO DE CAMPOS BARRETO, 51;(11)20540273;8050120;JD. SANTANA;;;TERCEIRIZADA;;;93726;02/03/1994;10/07/2007;
1776;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7022;EMEF PROF. JOSÉ BENTO DE ASSIS - (TERCEI.);R. SÃO GONÇALO DO RIO DAS PEDRAS, 140;(11)25812539;8081000;VILA MARA;;;TERCEIRIZADA;;;93882;02/03/1994;10/07/2007;
1777;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7025;EMEF SEN. JOSÉ ERMIRIO DE MORAIS - (TERCEI.);R. SÃO BRÁS DO SUAÇUI, 159;(11)25815030;8090290;JD. LUCE;;;TERCEIRIZADA;;;108;02/03/1994;10/07/2007;
1778;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;12179;EMEF MURURÉS (TERC);R- DOS MURURÉS, 434;(11)25849402;8090580;JD HELENA;;;TERCEIRIZADA;;;19410;06/05/2009;06/05/2009;
1779;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;12162;EMEF NEUZA AVELINO DA SILVA MELO (TERCEI.);R. CAUCASICA, 133;(11)25452276;3813240;JD. MATARAZZO;;;TERCEIRIZADA;;;19404;30/03/2009;30/03/2009;
1780;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;12160;EMEF PROFª JOSEFA NICACIO ARAUJO - (TERCEI.);R. MANOEL RODRIGUES SANTIAGO, 809;(11)21566970 (11)25667456;8142235;JARDIM LAURA;;;TERCEIRIZADA;;;19433;30/03/2009;30/03/2009;
1781;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;12159;EMEF  PROFESSORA MARISA MORETTI CÂMARA(TERCEI.);R. AMPARO DA SERRA, S/N;(11)25117935;8151300;SÃO MIGUEL;;;TERCEIRIZADA;;;19426;30/03/2009;30/03/2009;
1782;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;11693;CEU EMEF TRÊS PONTES - (TERCEI.);R. CAPACHÓS, 400;(11)33976437;8191330;JARDIM CÉLIA;;;TERCEIRIZADA;;;19367;07/05/2008;07/05/2008;
1783;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;9912;CEU EMEF PQ. SÃO CARLOS - (TERCEI.);RUA CLAREAR, 141;(11)20454224;8062590;JD. SÃO CARLOS;;;TERCEIRIZADA;;;19269;08/09/2003;15/09/2003;
1784;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7012;EMEF D. PAULO ROLIM LOUREIRO - (TERCEI.);R. JOÃO NICÁRIO ELEUTÉRIO, 374;(11)20544822;8042080;CID. NOVA SÃO MIGUEL;;;TERCEIRIZADA;;;93751;02/03/1995;10/07/2007;
1785;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7013;EMEF ALM. PEDRO DE FRONTIN (TERC);R. JOSÉ FERREIRA CRESPO, 495;(11)20377694;8021480;JD. SÃO VICENTE;;;TERCEIRIZADA;;;93769;02/03/1994;01/02/2011;
1786;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7011;EMEF ARQ. LUIS SAIA - (TERCEI.);R. AMÉRICO GOMES DA COSTA, 93;(11)20372056;8010120;VILA AMERICANA;;;TERCEIRIZADA;;;93742;05/04/1994;10/07/2007;
1787;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7010;EMEF PRES. EPITÁCIO PESSOA (TERC);R. LIBERO ANCONA LOPEZ, 169;(11)22970192;8070280;PQ.CRUZEIRO DO SUL;;;TERCEIRIZADA;;;93696;02/03/1994;01/02/2011;
1788;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7009;EMEF RAUL PILLA (TERC);R. PE. ORLANDO NOGUEIRA, 139;(11)22800020;8051560;VL .LIMOEIRO;;;TERCEIRIZADA;;;93700;01/03/1994;01/02/2011;
1789;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7008;EMEF DR. PEDRO ALEIXO - (TERCEI.);R. PAU D'ARCO ROXO, 340;(11)20370421;8061030;JD. PEDRO J. NUNES;;;TERCEIRIZADA;;;93688;02/03/1994;10/07/2007;
1790;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7002;EMEF CAPISTRANO DE ABREU (TERC);R. MANUEL MARTINS DE MELO, 608;(11)25810794;8190340; ITAIM PAULISTA;;;TERCEIRIZADA;;;93904;01/03/1994;01/02/2011;
1791;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7001;EMEF ARMANDO CRIDEY RIGHETTI - (TERCEI.);R. CORDÃO DE SÃO FRANCISCO, 797;(11)25810360;8190000;VILA AIMORÉ;;;TERCEIRIZADA;;;93891;01/03/1995;10/07/2007;
1792;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7023;EMEF VIRGILIO DE MELLO FRANCO - (TERCEI.);R. ERVA DO SERENO, 15;(11)25815031;8180010;SÃO MIGUEL;;;TERCEIRIZADA;;;99139;10/02/1994;10/07/2007;
1793;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;12867;EMEF VILA JACUI (TERC);RUA HENRIQUE XAVIER DE BRITO, 221;;8061015;JD.PEDRO JOSE NUNES;;;TERCEIRIZADA;;;19506;20/12/2013;20/12/2013;
1794;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;12865;EMEF PROFº. JOSÉ MARIO PIRES AZANHA (TERC);R. CHÁ  DOS JESUITAS, 72;;8245045;VL. PROGRESSO;;;TERCEIRIZADA;;;19505;20/12/2013;20/12/2013;
1795;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;12866;EMEF FAVEIRA DO MATO (TERC).;RUA FAVEIRA DO MATO, 600;;8040370;JD. PLANALTO;;;TERCEIRIZADA;;;19507;20/12/2013;20/12/2013;
1796;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;9087;EMEF SEN. LINO DE MATTOS (TERC);R. SAPUPIRA, 1005A;(11)25470738;8061440;JD PEDRO JOSÉ NUNES;;;TERCEIRIZADA;;;19011;04/08/1997;01/02/2011;
1797;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;9044;EMEFM DARCY RIBEIRO (TERC);R. DANIEL BERNARDO, 105;(11)20372801;8010100;SÃO MIGUEL;;;TERCEIRIZADA;;;18210;09/02/1998;01/02/2011;
1798;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;8686;EMEF PROF. FLÁVIO AUGUSTO ROSA -  (TERCEI.);R. GRUTA DAS PRINCESAS, 165;(11)25811998;8190460;ITAIM PAULISTA;;;TERCEIRIZADA;;;14583;02/03/1995;26/03/2007;
1799;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7021;EMEF ANTONIO CARLOS DE ANDRADE E SILVA (TERC);R. BALTAZAR SANTANA, 365;(11)20541899;8040420;JD. PLANALTO;;;TERCEIRIZADA;;;93734;02/03/1994;01/02/2011;
1800;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7019;EMEF JOSÉ AMÉRICO DE ALMEIDA - (TERCEI.);R. ALTOS DO OITI, 537;(11)25810143;8081410;VILA HELENA;;;TERCEIRIZADA;;;93874;02/03/1994;12/04/2005;
1801;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2;EMEF                ;7016;EMEF DR. JOÃO AUGUSTO BREVES - (TERCEI.);R. CECÍLIA ITER, 746;(11)20544993;8240730;VL. PROGRESSO;;;TERCEIRIZADA;;;93807;02/03/1995;12/04/2005;
1802;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;7238;CEU EMEI DR.CARLOS OLIVALDO DE SOUZA LOPES MUNIZ - (TERCEI.);R. CLAREAR, 141;(11)20454230;8062590;JD. SÃO CARLOS;;;TERCEIRIZADA;;;13226;02/03/1994;15/09/2003;
1803;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6686;EMEI AFRÂNIO PEIXOTO (TERC);AV. MARIA SANTANA, 230;(11)20537250;8050130;JD. SANTANA;;;TERCEIRIZADA;;;91120;02/03/1994;04/12/2013;
1804;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6691;EMEI D. PEDRO II - (TERCEI.);R. DR, JOSÉ DE PORCIUNCULA, 1280;(11)25814043;8080650;PQ. PAULISTANO;;;TERCEIRIZADA;;;91197;02/03/1994;24/07/2008;
1805;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6695;EMEI PROFA. HELENA DE PAULA MARIN - (TERCEI.);R. JOSÉ FERREIRA CRESPO, 471;(11)20375037;8021480;SÃO MIGUEL;;;TERCEIRIZADA;;;91235;02/03/1993;24/07/2008;
1806;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6699;EMEI MIN. ALIOMAR BALEEIRO - (TERCEI.);R. JURITI AZUL, S/N;(11)25811818;8090310;JD. HELENA;;;TERCEIRIZADA;;;98884;01/03/1994;10/07/2007;
1807;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;12522;EMEI LOURO ROSA (TERC);RUA. LOURO ROSA, 18B;(11)20253216;8141670;JD. CAMARGO NOVO;;;TERCEIRIZADA;;;19468;10/02/2011;10/02/2011;
1808;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;12383;EMEI UNIÃO DE VL. NOVA I (TERCEI.);R. NÚBIA, 40;(11)20314363;8072012;VL. NOVA UNIÃO;;;TERCEIRIZADA;;;19459;28/01/2010;08/02/2010;
1809;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;11692;CEU EMEI TRÊS PONTES - (TERCEI.);R. CAPACHÓS, 400;(11)20258346;8191330;JD. CÉLIA;;;TERCEIRIZADA;;;19359;07/05/2008;07/05/2008;
1810;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;9756;EMEI PROFA. LAURA DA CONCEIÇÃO PEREIRA QUINTAES - (TERCEI.);R. LOURENÇO FRANCO DO PRADO, 131;(11)25615553;8142230;ITAIM PAULISTA;;;TERCEIRIZADA;;;19250;18/06/2003;07/05/2003;
1811;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;9655;EMEI GLOBO DO SOL - (TERCEI.);R. GLOBO DO SOL, 85;(11)29566180;8061290;JD. PEDRO J. NUN;;;TERCEIRIZADA;;;19238;09/10/2002;10/07/2007;
1812;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;9457;EMEI APARECIDA DE LOURDES CARRILHO JD. (TERC);R. CORVETA JEQUITINHONHA, 731;(11)20513277;8240620;VL. PROGRESSO;;;TERCEIRIZADA;;;19207;02/03/2001;27/11/2013;
1813;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;9456;EMEI PROFA. MARIA DA LUZ SILVA DE OLIVEIRA - (TERCEI.);R. ERVA DO SERENO, 103;(11)25851611 (11)25865562;8180010;JD. MAIA;;;TERCEIRIZADA;;;19201;02/03/2001;24/07/2008;
1814;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;9455;EMEI CLEMÊNCIA FERREIRA DA SILVA (TERC);R. BARAO DE CALERA, 07;(11)22971303;8070050;ERMELINO MATARAZO;;;TERCEIRIZADA;;;19199;02/03/2001;28/11/2013;
1815;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;9353;EMEI ENG. ALDO GIANINI (TERC);R.  ARRAIAL DE SANTA BARBARA, 1080;(11)29430687;8061360;ERM. MATARAZZO;;;TERCEIRIZADA;;;19429;27/08/1999;27/08/2013;
1816;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;8970;EMEI PROFA. VALENTINA ANTONINI DA SILVA - (TERCEI.);R. CONCEIÇÃO DO ALMEIDA, 120;(11)25814230;8081370;VL. MARA;;;TERCEIRIZADA;;;17531;20/02/1997;10/07/2007;
1817;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;8553;EMEI PROFA. YOLANDA BASSI - (TERCEI.);R. CARDEIRO, 12;(11)25460815;3812110;VL. STA. INÊS;;;TERCEIRIZADA;;;11541;02/03/1994;10/07/2007;
1818;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6702;EMEI DR. ANTONIO ROBERTO ALVES BRAGA - (TERCEI.);R. DOS ESCOTEIROS, 110;(11)20517300;8050350;SÃO MIGUEL;;;TERCEIRIZADA;;;11380;02/03/1994;29/06/2007;
1819;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;12799;EMEI PARQUE SANTA RITA I (TERC.);AV. FERNANDO FIGUEIREDO LINS, S/Nº;;8140040;PQ SANTA RITA;;;TERCEIRIZADA;;;19489;19/03/2013;19/03/2013;
1820;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;10494;EMEI PROFA. CÉLIA RIBEIRO LANDIM (TERC);PÇA. CRAVEIRO DO CAMPO, S/N;(11)25813605;8090590;JD. HELENA;;;TERCEIRIZADA;;;19316;24/09/2004;23/09/2013;
1821;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6698;EMEI DILSON FUNARO - (TERCEI.);R. ALBERTINA MEDEIROS, 489;(11)20517852;8245180;VL. DANÚBIO AZUL;;;TERCEIRIZADA;;;97691;02/03/1994;10/07/2007;
1822;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6692;EMEI MARIA QUITÉRIA (TERC.);R. MARFIM VEGETAL, 126;(11)25810422;8081330;JD. MAIA;;;TERCEIRIZADA;;;91201;;01/10/2012;
1823;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6687;EMEI ANTONIO LAPENNA (TERC);R. DIEGO CALADO, 112;(11)22970178;8011420;SÃO MIGUEL;;;TERCEIRIZADA;;;91138;02/03/1994;23/09/2013;
1824;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6685;EMEI EPITÁCIO PESSOA - (TERCEI.);R. DANIEL ARCIONI, 10;(11)22809888;8051080;LIMOEIRO;;;TERCEIRIZADA;;;91111;02/03/1994;05/05/2003;
1825;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;1;EMEI                ;6684;EMEI JD. PEDRO JOSÉ NUNES - (TERCEI.);R. FLOR DE SÃO MIGUEL, 261;(11)20370819;8061020;SÃO MIGUEL;;;TERCEIRIZADA;;;91103;;10/07/2007;
1826;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;8;SME CONVÊNIO        ;8826;SME CONV. SEVERINO FABRIANI PARA CRIANÇAS SURDAS;R. ODILON CHAVES, 39;(11)20351824;8150560;ITAIM PAULISTA;29/10/2014;28/04/2017;DIRETA;;;600024;14/09/1981;;
1827;SME            ;2;SÃO MIGUEL          ;MP;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;8;SME CONVÊNIO        ;12293;SME CONV. ACDEM III - UNIÃO DE VL. NOVA;R. EDSON PINO, 556;(11)29560751;8072000;VL. NOVA UNIÃO;21/09/2009;14/06/2017;DIRETA;;;600047;23/11/2009;;
1828;SME            ;3;CASA VER. / CACHOEI.;CV;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;11;CEI CONVENIADO      ;7874;CEI CONV. JD. PERI;AV. PERI RONCHETTI, 168;(11)22317589;2633000;JD. PERI;01/01/2013;31/12/2017;DIRETA;;;306291;08/02/2000;;
1829;SME            ;3;CASA VER. / CACHOEI.;CV;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;11;CEI CONVENIADO      ;7891;CEI CONV. VL. NOVA CACHOEIRINHA;AV. GAL. PENHA BRASIL, 61;(11)26284653;2673000;VL. DIONISIA;01/01/2013;31/12/2017;DIRETA;;;400334;08/02/2000;;
1830;SME            ;3;CASA VER. / CACHOEI.;CV;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;11;CEI CONVENIADO      ;12616;CEI CONV MUNDO MÁGICO;R. DR JOAQUIM D'AQUINO FONSECA, 47;(11)37746225;2542080;SÍTIO DO MANDAQUI;10/11/2011;09/05/2017;DIRETA;;;307672;24/01/2012;;
1831;SME            ;3;CASA VER. / CACHOEI.;CV;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;11;CEI CONVENIADO      ;12567;CEI CONV. SHALLOM II;RUA VALDEMAR MARTINS, 870;(11)25743080 (11)25744080;2535001;PQ. PERUCHE;17/11/2015;16/05/2018;DIRETA;;;307569;09/08/2011;;
1832;SME            ;3;CASA VER. / CACHOEI.;CV;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;11;CEI CONVENIADO      ;11902;CEI CONV. ALAMEDA DO BEBÊ;AV. GENERAL PENHA BRASIL, 178;(11)39810005;2673000;VL. NOVA CACHOERINHA;17/11/2015;16/05/2018;DIRETA;;;306995;27/11/2008;;
1833;SME            ;3;CASA VER. / CACHOEI.;CV;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;11;CEI CONVENIADO      ;11695;CEI CONV. CRIANÇA FELIZ;R: DR. JOAQUIM D' AQUINO FONSECA, 227;(11)22368642;2542080;CASA VERDE ALTA;17/11/2015;16/05/2018;DIRETA;;;306911;09/05/2008;;
